687936237; 22/10/20; 05:23:52.83; GBM Ground Position; 173.820; +17.210; 6.66;    Fermi-GBM Ground-calculated Coordinates.      In the LAT Field-of-view.      This Notice was ground-generated -- not flight-generated.      The LC_URL file will not be created/available until ~15 min after the trigger.      The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.       http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_687936237.fits
687917507; 22/10/20; 00:11:42.70; GBM Flight Position; 120.367; -38.183; 34.85;    Fermi-GBM Flight-calculated Coordinates.      This trigger occurred at longitude,latitude = 4.50,-0.78 [deg].      The LC_URL file will not be created until ~15 min after the trigger.    
687783632; 22/10/18; 11:00:27.47; GBM Final Position; 271.250; +50.150; 5.88;    Fermi-GBM Final Position.      This Notice was ground-generated -- not flight-generated.      The LC_URL file should be available by the time this FINAL notice is produced.      This notice has human-in-the-loop processing.    
687717343; 22/10/17; 16:35:38.10; GBM Flight Position; 315.717; +28.600; 35.20;    Fermi-GBM Flight-calculated Coordinates.      This trigger occurred at longitude,latitude = 97.58,-17.37 [deg].      The LC_URL file will not be created until ~15 min after the trigger.    
687716304; 22/10/17; 16:18:19.35; GBM Flight Position; 329.550; +74.200; 32.22;    Fermi-GBM Flight-calculated Coordinates.      This trigger occurred at longitude,latitude = 31.73,-24.17 [deg].      The LC_URL file will not be created until ~15 min after the trigger.    
687706264; 22/10/17; 13:30:59.78; GBM Flight Position; 171.800; -57.033; 30.57;    Fermi-GBM Flight-calculated Coordinates.      This trigger occurred at longitude,latitude = 164.12,-9.88 [deg].      The LC_URL file will not be created until ~15 min after the trigger.    
687705349; 22/10/17; 13:15:44.21; GBM Ground Position; 307.700; +25.620; 14.91;    Fermi-GBM Ground-calculated Coordinates.      This Notice was ground-generated -- not flight-generated.      The LC_URL file will not be created/available until ~15 min after the trigger.      The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.       http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_687705349.fits
687698087; 22/10/17; 11:14:42.21; GBM Ground Position; 291.180; +26.310; 1.00;    Fermi-GBM Ground-calculated Coordinates.      This Notice was ground-generated -- not flight-generated.      The LC_URL file will not be created/available until ~15 min after the trigger.      The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.       http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_687698087.fits
687656367; 22/10/16; 23:39:22.71; GBM Ground Position; 38.250; -28.520; 2.73;    Fermi-GBM Ground-calculated Coordinates.      This Notice was ground-generated -- not flight-generated.      The LC_URL file will not be created/available until ~15 min after the trigger.      The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.             NOTE: This GBM event is temporally(2.0<100sec) coincident with the SWIFT_BAT event (trignum=1129775).       http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_687656367.fits
687638286; 22/10/16; 18:38:01.18; GBM Flight Position; 264.750; +56.683; 26.38;    Fermi-GBM Flight-calculated Coordinates.      This trigger occurred at longitude,latitude = 117.72,1.42 [deg].      The LC_URL file will not be created until ~15 min after the trigger.    
